#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2      Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
2 2359.0086 0.010454693 3.0549756 0.96711943  0.02355892 0.13037699 0.88104123 2.1220668e-09 66.436045 -19.847797 -19.847797 4757.7127 4757.7127
1 2336.1774  0.01045524 3.0545492 0.96601006 0.023554851 0.13041292 0.87829045  2.121162e-09 66.439507 -19.847797 -19.847797 4712.0503 4712.0503
2 2332.4138 0.010455392 3.0551786 0.96618773 0.023556317 0.13022498  0.8749524 2.1224977e-09 66.505355 -19.847797 -19.847797 4704.5232 4704.5232
2 2290.6685 0.010454728 3.0549799 0.96477878 0.023570795 0.13026463 0.86903583  2.122076e-09 66.482998 -19.847797 -19.847797 4621.0326 4621.0326
1 2223.1243 0.010454277 3.0575066 0.96224488 0.023561439 0.13003714  0.8814562 2.1274445e-09 66.531886 -19.847797 -19.847797 4485.9443 4485.9443
1 2199.8129 0.010454572 3.0576468 0.96165376 0.023555776 0.12987936 0.87471287 2.1277429e-09 66.586979 -19.847797 -19.847797 4439.3214 4439.3214
6 2171.3605  0.01045362 3.0581729 0.96173961 0.023574831 0.12964758 0.86713575 2.1288625e-09 66.645171 -19.847797 -19.847797 4382.4166 4382.4166
1 2115.8646 0.010452803 3.0580392 0.96068058 0.023575405 0.12949176 0.86026321 2.1285778e-09 66.667864 -19.847797 -19.847797 4271.4247 4271.4247
2 2078.3397 0.010453706 3.0569724 0.96102854 0.023571094 0.12843471  0.8607021 2.1263083e-09 67.033339 -19.847797 -19.847797 4196.3749 4196.3749
1 2061.9663 0.010453489 3.0565706 0.96077474 0.023562045 0.12843657  0.8648936 2.1254541e-09  67.01763 -19.847797 -19.847797 4163.6283 4163.6283
1 2060.1186 0.010454126 3.0578462 0.95881447 0.023555411 0.12847284 0.86330823 2.1281671e-09 67.021668 -19.847797 -19.847797 4159.9328 4159.9328
2 2049.5528 0.010453339 3.0570394 0.95898502 0.023573009 0.12843505 0.85762919 2.1264509e-09 67.022537 -19.847797 -19.847797 4138.8011 4138.8011
3 2030.8035 0.010452962 3.0573564 0.95975976  0.02356581 0.12827948 0.85585663 2.1271251e-09 67.053812 -19.847797 -19.847797 4101.3026 4101.3026
2 1977.3713 0.010451652  3.057785 0.95714016 0.023553888 0.12858749 0.85904634 2.1280369e-09 66.900208 -19.847797 -19.847797 3994.4382 3994.4382
2 1922.3966 0.010451528 3.0585631  0.9558609 0.023565185 0.12778345 0.87191825 2.1296934e-09 67.165448 -19.847797 -19.847797 3884.4888 3884.4888
1 1898.8584 0.010450759 3.0596745 0.95607072 0.023566141 0.12781302 0.87068196 2.1320616e-09 67.130798 -19.847797 -19.847797 3837.4124 3837.4124
3 1869.8154 0.010450149   3.05752 0.95585571 0.023556615 0.12721012 0.85286917 2.1274731e-09 67.298013 -19.847797 -19.847797 3779.3264 3779.3264
3 1865.6539 0.010449897 3.0577925 0.95861276 0.023556852 0.12719862 0.85982202 2.1280529e-09 67.293494 -19.847797 -19.847797 3771.0034 3771.0034
2 1852.4751 0.010450074 3.0536342 0.95851083 0.023536917 0.12661972 0.86577848 2.1192222e-09 67.471608 -19.847797 -19.847797 3744.6457 3744.6457
6  1838.277 0.010450011 3.0556391 0.95984049 0.023527227 0.12651776 0.85654394 2.1234752e-09 67.494596 -19.847797 -19.847797 3716.2496 3716.2496
5 1820.9987 0.010448855  3.055365 0.95917357 0.023550239 0.12686053 0.86648491 2.1228932e-09 67.363087 -19.847797 -19.847797 3681.6929 3681.6929
3 1773.0163 0.010447719 3.0553299 0.95978929 0.023540978 0.12654302 0.86626683 2.1228189e-09 67.420872 -19.847797 -19.847797 3585.7283 3585.7283
2 1758.0319 0.010447277 3.0551983 0.95959068 0.023532109 0.12664602 0.86821656 2.1225393e-09 67.364581 -19.847797 -19.847797 3555.7594 3555.7594
1 1752.5724  0.01044815 3.0550846 0.95847283  0.02351378 0.12628781 0.86940436 2.1222982e-09  67.49588 -19.847797 -19.847797 3544.8404 3544.8404
2 1735.8092 0.010447963 3.0545779 0.95803497 0.023521483 0.12609581 0.88115008  2.121223e-09 67.559398 -19.847797 -19.847797  3511.314  3511.314
3 1713.4534 0.010447886 3.0556568 0.95802058 0.023531534 0.12550997 0.87698254 2.1235128e-09 67.759145 -19.847797 -19.847797 3466.6024 3466.6024
4 1689.9441   0.0104473 3.0561254 0.95640762 0.023533214 0.12554347 0.88027611 2.1245081e-09 67.729705 -19.847797 -19.847797 3419.5838 3419.5838
2 1684.5898 0.010446788 3.0554165 0.95672104 0.023535496 0.12570169  0.8818334 2.1230026e-09  67.66197 -19.847797 -19.847797 3408.8751 3408.8751
