#weight  minuslogpost  cosmomc_theta      logA        ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
1 2479.0526 0.010398101 3.0305385 1.0359999 0.018922605 0.13604716 0.90626773 2.0708381e-09 59.069807 -19.847797 -19.847797 4997.8007 4997.8007
1 2479.0204 0.010398099 3.0305403 1.0360034 0.018922621 0.13604757  0.9062869 2.0708418e-09 59.069662 -19.847797 -19.847797 4997.7364 4997.7364
2 2478.6077 0.010397999 3.0304959 1.0360642  0.01892289 0.13603946 0.90539116 2.0707498e-09   59.0691 -19.847797 -19.847797 4996.9109 4996.9109
3 2476.4611 0.010397896  3.030337 1.0356282 0.018926941 0.13598741 0.90686046 2.0704209e-09 59.084465 -19.847797 -19.847797 4992.6178 4992.6178
1 2477.0218 0.010397749 3.0306345  1.035784 0.018924576 0.13595222 0.90643424 2.0710369e-09 59.088541 -19.847797 -19.847797 4993.7392 4993.7392
1  2455.121 0.010398725 3.0324262 1.0401938 0.018957285 0.13556613 0.89905049 2.0747509e-09 59.259735 -19.847797 -19.847797 4949.9376 4949.9376
2 2455.7467 0.010398706 3.0324442 1.0402067 0.018957586 0.13557151 0.89941675 2.0747884e-09 59.257759 -19.847797 -19.847797  4951.189  4951.189
2 2439.6997 0.010397628 3.0294436 1.0411682 0.018963743 0.13540622 0.89524279  2.068572e-09 59.277906 -19.847797 -19.847797  4919.095  4919.095
3 2439.9832 0.010397683 3.0295249 1.0411688 0.018963903 0.13538934 0.89589942 2.0687402e-09 59.284846 -19.847797 -19.847797 4919.6619 4919.6619
2 2433.0123 0.010396214 3.0283927 1.0396396 0.018971508 0.13504072 0.90851544 2.0663994e-09 59.349014 -19.847797 -19.847797 4905.7201 4905.7201
1 2413.4823 0.010395969  3.030293 1.0385774 0.018995135 0.13511487 0.90674798 2.0703299e-09 59.336854 -19.847797 -19.847797 4866.6601 4866.6601
3 2411.8846 0.010396003 3.0292601 1.0357359  0.01898985  0.1347873 0.89300568 2.0681924e-09 59.432678 -19.847797 -19.847797 4863.4647 4863.4647
5 2409.8216 0.010395966 3.0293757 1.0362775 0.018990149 0.13480378 0.88915741 2.0684315e-09  59.42675 -19.847797 -19.847797 4859.3388 4859.3388
3 2393.4848 0.010397272 3.0283938 1.0366294 0.019010738 0.13455777 0.88149992 2.0664015e-09 59.558099 -19.847797 -19.847797 4826.6652 4826.6652
2 2390.8107 0.010396529 3.0272275 1.0359183 0.019019899 0.13481169 0.88856816 2.0639928e-09 59.464753 -19.847797 -19.847797  4821.317  4821.317
3 2381.6475 0.010396752  3.028286 1.0354863 0.019021196 0.13501529 0.88965366 2.0661788e-09 59.411373 -19.847797 -19.847797 4802.9906 4802.9906
4 2345.4873 0.010397275 3.0279549 1.0366425 0.019049595 0.13503188  0.8843864 2.0654948e-09 59.444534 -19.847797 -19.847797 4730.6702 4730.6702
1 2342.8776 0.010398918 3.0301255 1.0354137 0.019044679 0.13474837 0.88815466  2.069983e-09 59.578385 -19.847797 -19.847797 4725.4508 4725.4508
1 2328.0513 0.010399471 3.0302294 1.0365534 0.019053942 0.13506755 0.88748548 2.0701982e-09 59.506634 -19.847797 -19.847797 4695.7983 4695.7983
