#weight  minuslogpost  cosmomc_theta      logA         ns       ombh2      omch2     Alens            As        H0  minuslogprior  minuslogprior__0      chi2  chi2__chi2
3 772.35099 0.010414395 3.0162158 0.98416673 0.022714706 0.11127324 1.1898689 2.0413896e-09 71.019852 -19.847797 -19.847797 1584.3976 1584.3976
3 772.27764 0.010414443 3.0168657 0.98424888 0.022720118 0.11121572 1.1896926 2.0427166e-09  71.04813 -19.847797 -19.847797 1584.2509 1584.2509
1 772.03527 0.010414152  3.017011 0.98445039 0.022719898 0.11125168 1.1873356 2.0430135e-09  71.02416 -19.847797 -19.847797 1583.7661 1583.7661
3 772.59226 0.010414155 3.0167716 0.98481607 0.022721386 0.11124315 1.1877006 2.0425244e-09 71.028771 -19.847797 -19.847797 1584.8801 1584.8801
1 771.10019 0.010414591 3.0189655 0.98356781 0.022725867 0.11210672 1.1792614 2.0470104e-09 70.716175 -19.847797 -19.847797  1581.896  1581.896
1 773.32871 0.010412647 3.0194861 0.98264429 0.022727126 0.11228254 1.1859427 2.0480763e-09 70.583995 -19.847797 -19.847797  1586.353  1586.353
1 768.33794 0.010412703 3.0198223 0.98150046 0.022723132 0.11215465 1.1848528 2.0487651e-09 70.631317 -19.847797 -19.847797 1576.3715 1576.3715
6 768.04095 0.010412624  3.019859 0.98208833 0.022705133 0.11224562 1.1841827 2.0488403e-09 70.579089 -19.847797 -19.847797 1575.7775 1575.7775
1 764.81753 0.010412308 3.0212129 0.97956498 0.022706407 0.11221223 1.1809138  2.051616e-09 70.582122 -19.847797 -19.847797 1569.3307 1569.3307
1 764.92218 0.010412183 3.0208828 0.97986081  0.02270578 0.11222468 1.1819736  2.050939e-09 70.572617 -19.847797 -19.847797   1569.54   1569.54
5 764.59222 0.010412907 3.0198737 0.98017092 0.022695319 0.11229837 1.1785961 2.0488703e-09 70.560546 -19.847797 -19.847797   1568.88   1568.88
6 761.83551 0.010412483 3.0213201 0.97938751  0.02267389 0.11258182 1.1833471 2.0518359e-09 70.420706 -19.847797 -19.847797 1563.3666 1563.3666
2 759.89983   0.0104122 3.0214308 0.97939203 0.022650466 0.11253411 1.1742804 2.0520632e-09 70.409859 -19.847797 -19.847797 1559.4953 1559.4953
1 759.58233 0.010411759 3.0221134  0.9800319 0.022656867 0.11260973 1.1698326 2.0534643e-09 70.371437 -19.847797 -19.847797 1558.8603 1558.8603
1  760.1803 0.010411954 3.0223445 0.98023716 0.022656907 0.11259625 1.1691737  2.053939e-09 70.383237 -19.847797 -19.847797 1560.0562 1560.0562
1 760.82324 0.010411936 3.0231295 0.97916933 0.022659197 0.11245333 1.1677564 2.0555519e-09 70.438764 -19.847797 -19.847797 1561.3421 1561.3421
4  757.1475 0.010412232 3.0240627 0.97793873  0.02265622 0.11308655 1.1677236 2.0574712e-09 70.206588 -19.847797 -19.847797 1553.9906 1553.9906
3 755.20893 0.010412818 3.0250702  0.9771392 0.022649711 0.11336067 1.1605508  2.059545e-09 70.117831 -19.847797 -19.847797 1550.1135 1550.1135
2 755.23662  0.01041279 3.0251842 0.97710297 0.022649952 0.11336444 1.1604447 2.0597798e-09 70.115681 -19.847797 -19.847797 1550.1688 1550.1688
